,Insect,Date,Crop,Temperature,Number of Insects,Season,Humidity,Location,Crop Habitat,Wind,Rain,Sunlight,Egg Hatch,Infestation
3595,2,12/09/2023 00:00,1,2,14,4,0,0,0,1,0,7,0,0
3598,2,13/09/2023 00:00,1,3,22,4,0,0,0,0,0,12,1,0
3601,2,14/09/2023 00:00,1,1,10,4,0,0,0,1,1,9,0,0
3604,2,15/09/2023 00:00,1,0,6,4,0,0,0,0,1,4,0,0
3607,2,16/09/2023 00:00,1,0,7,4,0,0,0,0,0,6,0,0
3610,2,17/09/2023 00:00,1,1,7,4,0,0,0,1,1,12,0,0
3613,2,18/09/2023 00:00,1,3,19,4,0,0,0,0,0,14,0,0
3616,2,19/09/2023 00:00,1,2,26,4,0,0,0,0,0,13,0,0
3619,2,20/09/2023 00:00,1,2,10,4,0,0,0,0,1,13,0,0
3622,2,21/09/2023 00:00,1,2,15,4,0,0,0,1,0,12,0,0
3625,2,22/09/2023 00:00,1,2,24,4,0,0,0,0,0,14,1,0
3628,2,23/09/2023 00:00,1,2,12,4,0,0,0,0,1,11,0,0
3631,2,24/09/2023 00:00,1,1,7,4,0,0,0,1,1,10,0,0
3634,2,25/09/2023 00:00,1,3,14,4,0,0,0,0,1,11,0,0
3637,2,26/09/2023 00:00,1,1,17,4,0,0,0,0,1,8,0,0
3640,2,27/09/2023 00:00,1,0,4,4,0,0,0,1,0,5,0,0
3643,2,28/09/2023 00:00,1,0,9,4,0,0,0,0,0,5,0,0
3646,2,29/09/2023 00:00,1,0,4,4,0,0,0,0,1,6,0,0
3649,2,30/09/2023 00:00,1,2,15,4,1,0,0,0,0,10,0,0
3652,2,01/10/2023 00:00,1,2,17,4,1,0,0,0,0,12,0,0
3655,2,02/10/2023 00:00,1,1,23,4,1,0,0,0,0,11,0,0
3658,2,03/10/2023 00:00,1,2,29,4,1,0,0,0,0,13,1,0
3661,2,04/10/2023 00:00,1,1,37,4,1,0,0,0,0,14,0,1
3664,2,05/10/2023 00:00,1,2,11,4,0,0,0,0,0,12,0,0
3667,2,06/10/2023 00:00,1,2,12,4,0,0,0,0,1,14,0,0
3670,2,07/10/2023 00:00,1,2,8,4,0,0,0,0,1,8,0,0
3673,2,08/10/2023 00:00,1,1,5,4,0,0,0,1,1,9,0,0
3676,2,09/10/2023 00:00,1,2,16,4,0,0,0,1,0,7,0,0
3679,2,10/10/2023 00:00,1,3,21,4,0,0,0,0,0,7,1,0
3682,2,11/10/2023 00:00,1,0,9,4,0,0,0,1,1,6,0,0
3685,2,12/10/2023 00:00,1,0,8,4,0,0,0,1,1,5,0,0
3688,2,13/10/2023 00:00,1,0,7,4,0,0,0,0,0,5,0,0
3691,2,14/10/2023 00:00,1,0,5,4,0,0,0,1,0,4,0,0
3694,2,15/10/2023 00:00,1,0,5,4,0,0,0,0,1,5,0,0
3697,2,16/10/2023 00:00,1,1,12,4,0,0,0,1,0,10,0,0
3700,2,17/10/2023 00:00,1,2,18,4,0,0,0,0,1,9,0,0
3703,2,18/10/2023 00:00,1,2,21,4,1,0,0,0,0,8,1,0
3706,2,19/10/2023 00:00,1,2,24,4,1,0,0,0,0,11,0,0
3709,2,20/10/2023 00:00,1,1,28,4,1,0,0,0,0,14,0,0
3712,2,21/10/2023 00:00,1,2,33,4,1,0,0,0,0,13,0,0
3715,2,22/10/2023 00:00,1,1,36,4,1,0,0,0,0,10,0,1
3718,2,23/10/2023 00:00,1,0,5,4,0,0,0,0,1,5,0,0
3721,2,24/10/2023 00:00,1,0,4,4,0,0,0,0,0,4,0,0
3724,2,25/10/2023 00:00,1,1,7,4,0,0,0,1,1,13,0,0
3727,2,26/10/2023 00:00,1,3,19,4,0,0,0,0,0,11,0,0
3730,2,27/10/2023 00:00,1,2,23,4,0,0,0,0,0,12,0,0
